ProductID;ProductName;Price;CategoryID;Class;ModifyDate;Resistant;IsAllergic;VitalityDays
89;Beef - Ground, Extra Lean, Fresh;367,281;3;Medium;44:38.8;Weak;True;NULL
90;Flavouring - Orange;69,32;9;High;22:41.5;NULL;True;37
91;General Purpose Trigger;570,429;6;High;04:16.4;Durable;True;97
92;Wine - Red, Colio Cabernet;602,161;1;Low;25:50.0;Weak;NULL;NULL
93;Bandage - Fexible 1x3;8,119;8;Low;29:48.0;Durable;False;11
94;V8 - Berry Blend;435,109;9;High;09:35.8;Weak;NULL;108
95;Beans - Kidney White;463,913;1;High;24:22.0;NULL;NULL;NULL
96;Cheese - Bocconcini;621,993;7;High;12:14.0;NULL;False;NULL
97;Veal - Inside;247,798;4;Medium;39:19.4;Weak;True;NULL
98;Shrimp - 31/40;998,755;3;High;56:58.9;Weak;False;NULL
99;Mustard - Seed;274,874;5;Low;50:08.6;Weak;True;NULL
100;Pork - Loin, Bone - In;696,501;9;Low;26:44.8;Durable;NULL;7
101;Soup - Campbells, Lentil;83,011;4;Medium;58:21.6;Durable;NULL;99
102;Rosemary - Primerba, Paste;62,257;4;High;06:56.7;NULL;False;NULL
103;Cream Of Tartar;727,534;7;Low;26:22.5;NULL;NULL;NULL
104;Tia Maria;982,471;5;High;59:30.0;NULL;False;NULL
105;Ecolab - Mikroklene 4/4 L;688,789;1;Medium;38:08.2;Durable;True;NULL
106;Pickerel - Fillets;18,753;7;High;20:35.9;Weak;False;19
107;Bread - French Baquette;74,151;1;High;45:43.3;Weak;False;NULL
108;Pasta - Orecchiette;790,038;1;High;08:26.0;Weak;True;NULL
109;Muffin - Zero Transfat;493,791;1;Medium;20:02.8;Durable;False;NULL
110;Black Currants;409,417;9;High;00:13.2;Durable;NULL;48
111;Scallops 60/80 Iqf;349,061;11;Medium;45:18.7;Durable;NULL;NULL
112;Browning Caramel Glace;817,943;10;High;30:59.6;Weak;NULL;NULL
113;Ocean Spray - Kiwi Strawberry;105,964;7;Low;59:47.1;NULL;False;106
114;Veal - Osso Bucco;795,638;8;High;13:04.1;Weak;True;93
115;Ocean Spray - Ruby Red;450,466;11;Low;01:28.3;Weak;False;NULL
116;Steam Pan - Half Size Deep;5,736;3;Low;44:48.4;Weak;True;104
117;Ketchup - Tomato;68,638;11;High;48:35.5;Weak;NULL;NULL
118;Garbag Bags - Black;65,967;9;High;40:50.1;Weak;NULL;NULL
119;Soup Campbells - Italian Wedding;296,372;11;Medium;52:36.4;NULL;False;NULL
120;Water - Spring Water 500ml;27,314;2;Medium;44:37.6;Durable;NULL;94
121;Muffin Batt - Blueberry Passion;60,976;11;Low;46:54.7;Durable;NULL;NULL
122;Table Cloth 62x114 White;117,845;4;High;40:17.8;Weak;False;NULL
123;Oil - Shortening - All - Purpose;481,487;4;Low;59:11.3;NULL;NULL;NULL
124;Macaroons - Two Bite Choc;182,891;4;Low;41:59.3;NULL;True;81
125;Nut - Chestnuts, Whole;61,417;9;Low;17:55.4;Weak;False;NULL
126;Crackers - Trio;141,914;6;Low;58:18.0;NULL;NULL;76
127;Island Oasis - Mango Daiquiri;541,413;8;Medium;47:41.3;NULL;False;34
128;Coffee - Irish Cream;46,797;2;Medium;43:44.7;Durable;NULL;71
129;Chicken - Soup Base;672,329;7;High;09:56.9;Durable;True;NULL
130;Beef Wellington;419,808;2;Low;58:47.6;NULL;False;NULL
131;Anchovy Paste - 56 G Tube;408,967;3;Medium;41:09.5;Durable;False;NULL
132;Beer - Blue;116,217;6;High;31:08.0;Weak;False;24
133;Beef - Top Sirloin - Aaa;29,327;11;Low;59:32.9;Weak;NULL;NULL
134;Wine - Toasted Head;398,545;2;High;09:17.2;Weak;True;NULL
135;Wiberg Super Cure;109,641;10;Low;04:21.9;Durable;False;61
136;Vol Au Vents;243,913;10;Medium;33:43.5;Weak;True;NULL
137;Wine - White, Schroder And Schyl;840,566;10;Low;30:01.6;Durable;False;NULL
138;Rum - Coconut, Malibu;526,367;7;Low;02:36.3;Durable;NULL;NULL
139;Chicken - Wieners;21,423;1;High;40:59.6;Weak;False;NULL
140;Oregano - Dry, Rubbed;681,326;11;High;30:05.6;Durable;NULL;16
141;Tea - Herbal Sweet Dreams;10,964;1;Low;08:19.0;Durable;True;37
142;Pork - Bacon, Double Smoked;247,809;6;Medium;37:54.8;Weak;True;NULL
143;Watercress;426,169;1;Medium;29:15.6;NULL;True;NULL
144;Placemat - Scallop, White;957,865;5;Medium;44:25.6;Durable;False;NULL
145;Wine - Chardonnay South;344,139;9;Low;37:22.8;Durable;NULL;27
146;Bananas;752,486;7;High;33:16.8;Durable;False;NULL
147;Cheese - Mozzarella;496,197;5;High;26:02.9;NULL;False;NULL
148;Beer - Sleemans Cream Ale;285,553;11;Medium;16:43.8;Durable;True;91
149;Zucchini - Yellow;984,644;10;High;08:07.5;Weak;True;NULL
150;Langers - Ruby Red Grapfruit;406,552;9;High;39:33.6;Durable;False;NULL
151;Mushrooms - Black, Dried;935,613;7;High;23:38.6;Weak;True;NULL
152;Lentils - Red, Dry;588,128;7;Medium;58:29.3;NULL;NULL;26
153;Arizona - Green Tea;702,382;4;Low;04:22.4;Weak;False;NULL
154;Ice Cream Bar - Drumstick;24,756;4;Medium;05:31.0;Weak;True;NULL
155;Peas - Pigeon, Dry;635,524;9;High;39:50.1;Weak;False;NULL
156;Sprouts - Alfalfa;712,264;1;High;18:03.8;Durable;False;NULL
157;Juice - Cranberry, 341 Ml;141,082;11;Medium;07:45.3;NULL;False;19
158;Apricots Fresh;544,643;4;High;44:23.2;NULL;False;18
159;Eggplant - Asian;921,053;7;Medium;41:34.6;Durable;True;NULL
160;Beef Ground Medium;546,874;7;Medium;39:50.2;Weak;True;NULL
161;Longos - Chicken Wings;646,118;10;Low;32:54.5;Weak;NULL;NULL
162;Sauce - Demi Glace;27,353;11;Medium;01:58.7;Weak;True;117
163;Tomatoes Tear Drop;117,708;6;Low;58:29.1;NULL;True;116
164;Loquat;73,982;11;Medium;21:15.2;NULL;False;NULL
165;Bread Crumbs - Japanese Style;0,0449;6;Low;19:03.7;NULL;False;NULL
166;Tray - 16in Rnd Blk;232,843;5;High;14:10.8;Durable;False;NULL
167;Knife Plastic - White;788,615;11;Medium;31:26.8;Durable;False;NULL
168;Milk - 2%;707,419;6;Medium;50:29.9;NULL;True;29
169;Water - Aquafina Vitamin;685,996;10;Medium;08:42.3;NULL;False;NULL
170;Initation Crab Meat;206,553;1;Medium;27:44.8;Durable;False;NULL
171;Gloves - Goldtouch Disposable;216,794;5;High;14:46.8;Durable;False;NULL
172;Sherry - Dry;160,013;5;High;45:59.1;Durable;NULL;72
173;Rosemary - Dry;44,544;8;Low;59:50.5;Durable;False;NULL
174;Guinea Fowl;615,047;11;High;22:30.8;Durable;True;NULL
175;Oil - Safflower;917,675;1;Low;36:18.6;Weak;True;52
176;Smirnoff Green Apple Twist;813,167;6;High;08:59.8;Durable;True;90
177;Coconut - Shredded, Sweet;691,677;3;Medium;11:02.2;Weak;True;NULL
178;Pernod;523,623;10;High;14:45.8;Weak;True;NULL
179;Yoghurt Tubes;838,752;6;Low;04:36.4;Durable;NULL;26
180;Chocolate - Dark;308,932;3;Low;44:38.6;Durable;True;27
181;Phyllo Dough;645,718;1;Medium;32:15.1;NULL;False;NULL
182;Campari;25,586;9;Low;30:57.5;Weak;False;54
183;Spice - Peppercorn Melange;62,154;4;High;35:37.2;Weak;False;NULL
184;Hersey Shakes;265,776;9;Low;30:23.3;Weak;True;NULL
185;Foam Dinner Plate;484,195;6;Low;35:09.1;Weak;NULL;40
186;Muffin Mix - Blueberry;820,839;8;Low;42:40.2;Weak;False;NULL
187;Pepper - Black, Whole;413,835;3;Medium;26:45.5;Durable;False;31
188;Cup - Translucent 7 Oz Clear;781,768;8;High;54:01.9;Durable;False;91
189;Bread - Roll, Soft White Round;763,021;5;High;29:27.1;NULL;False;16
190;Cake - Cake Sheet Macaroon;397,378;9;Medium;46:18.1;Durable;True;93
191;Hickory Smoke, Liquid;10,283;10;High;25:58.2;Weak;NULL;NULL
192;Wine - Magnotta, Merlot Sr Vqa;295,923;7;Medium;45:38.4;Durable;NULL;NULL
193;Veal - Inside, Choice;605,314;11;Medium;21:01.7;NULL;False;19
194;Lettuce - Frisee;667,357;6;Medium;01:09.3;NULL;False;NULL
195;Beets - Mini Golden;35,208;2;Medium;57:11.0;Durable;NULL;70
196;Longos - Grilled Salmon With Bbq;82,286;1;High;06:20.3;NULL;NULL;NULL
197;Mussels - Cultivated;130,101;1;Medium;39:25.8;NULL;True;NULL
198;Lime Cordial - Roses;352,187;1;Low;08:00.4;Durable;False;60
199;Pork - Hock And Feet Attached;957,415;10;Medium;25:21.9;Weak;NULL;105
200;Garlic - Peeled;111,295;5;Medium;23:12.0;Weak;False;NULL
201;Grenadine;963,871;8;Medium;01:50.0;Weak;True;117
202;Bay Leaf;788,778;11;Low;35:33.0;Weak;True;NULL
203;Chicken - Leg, Boneless;599,557;1;High;08:01.6;Weak;NULL;29
204;Scallop - St. Jaques;77,809;9;Medium;40:22.7;Durable;True;5
205;Turkey - Whole, Fresh;189,757;5;High;24:46.8;Weak;False;32
206;Cocoa Butter;77,56;3;Low;37:39.4;NULL;NULL;NULL
207;Coffee - Hazelnut Cream;142,688;10;Medium;58:38.8;NULL;True;116
208;Mushroom - Trumpet, Dry;87,335;5;Medium;41:51.6;Weak;False;15
209;Sugar - Fine;329,885;3;Low;29:12.4;NULL;NULL;NULL
210;Cheese - Brie,danish;822,358;3;High;30:50.3;NULL;NULL;NULL
211;Wine - Prosecco Valdobiaddene;20,587;9;Low;07:01.6;NULL;True;76
212;Curry Paste - Madras;61,746;2;High;52:59.6;Weak;True;97
213;Pate - Cognac;705,891;10;High;39:46.8;Weak;True;39
214;French Pastry - Mini Chocolate;612,121;5;Low;56:56.0;Durable;NULL;NULL
215;Veal - Brisket, Provimi,bnls;901,157;7;High;07:35.2;Weak;NULL;92
216;Scallops - 10/20;390,257;1;Low;01:57.0;NULL;NULL;NULL
217;Bread - Multigrain;96,52;8;Medium;26:21.5;Durable;True;NULL
218;Barramundi;851,933;8;High;28:05.7;Weak;True;31
219;Assorted Desserts;589,787;5;Low;46:06.1;Durable;False;NULL
220;Meldea Green Tea Liquor;17,961;10;Low;36:23.5;Weak;False;NULL
221;Bread Crumbs - Panko;819,008;3;Low;47:25.2;NULL;False;NULL
222;Sole - Dover, Whole, Fresh;0,6846;3;High;37:24.9;NULL;False;NULL
223;Pail With Metal Handle 16l White;944,399;1;Medium;21:02.8;NULL;NULL;NULL
224;Flour - Pastry;288,618;1;High;22:24.2;Weak;False;NULL
225;Wine - Charddonnay Errazuriz;103,722;3;Medium;01:46.5;Weak;NULL;NULL
226;Chestnuts - Whole,canned;920,872;10;Medium;29:08.4;Durable;True;NULL
227;Cheese - Taleggio D.o.p.;554,699;5;Low;24:57.4;Weak;False;NULL
228;Sauce - Hollandaise;778,083;3;High;58:41.2;Durable;NULL;93
229;Bread - Hot Dog Buns;579,838;9;Medium;25:19.8;Weak;False;66
230;Wine - Cahors Ac 2000, Clos;835,389;11;Medium;29:58.3;Weak;False;75
231;Crush - Cream Soda;683,066;5;Medium;29:34.1;NULL;True;NULL
232;Quiche Assorted;33,949;3;Medium;03:01.8;Weak;False;NULL
233;Duck - Breast;566,209;11;Low;49:23.9;Durable;True;NULL
234;Tofu - Firm;727,457;1;Medium;41:24.4;Weak;NULL;NULL
235;Bread - English Muffin;345,061;6;High;42:48.6;Durable;False;NULL
236;Tomato - Tricolor Cherry;85,694;1;Low;56:42.0;NULL;True;113
237;Mayonnaise - Individual Pkg;656,303;8;Low;22:56.0;Weak;False;94
238;Garlic;284,065;6;Medium;55:14.4;Durable;False;NULL
239;Soup - Campbells, Cream Of;76,019;5;Medium;05:36.5;Weak;True;NULL
240;Wine - Chablis 2003 Champs;708,596;4;Low;57:29.6;Weak;False;NULL
241;Cheese - Cheddarsliced;678,151;9;Medium;44:01.4;NULL;NULL;NULL
242;Thermometer Digital;32,65;9;Low;44:53.9;Weak;False;11
243;Sun - Dried Tomatoes;451,883;6;Medium;24:49.5;Weak;False;104
244;Beef - Rib Eye Aaa;940,664;2;Low;58:36.8;NULL;True;NULL
245;Grouper - Fresh;376,791;1;Medium;39:16.5;Weak;NULL;111
246;Ice Cream Bar - Hageen Daz To;485,371;9;Low;32:58.6;Weak;False;96
247;Juice - Apple Cider;590,033;9;High;05:51.6;Weak;False;58
248;Beef - Inside Round;993,193;7;Low;24:05.7;NULL;NULL;NULL
249;Cookie Dough - Double;766,201;10;Medium;53:34.2;Weak;True;NULL
250;Soup - Campbells, Beef Barley;644,951;1;Low;55:14.0;Durable;False;NULL
251;Oranges - Navel, 72;117,087;5;Low;39:58.8;Weak;True;7
252;Nantucket - Pomegranate Pear;278,169;4;Medium;11:20.0;Weak;NULL;83
253;Wanton Wrap;76,24;7;High;21:54.3;NULL;NULL;NULL
254;Soup - Canadian Pea, Dry Mix;777,804;1;Low;48:58.4;Weak;True;NULL
255;Kellogs All Bran Bars;292,287;3;Low;35:46.8;Weak;False;NULL
256;Soup Knorr Chili With Beans;957,024;6;Medium;24:25.1;Durable;NULL;NULL
257;Pasta - Detalini, White, Fresh;84,438;11;High;14:30.3;Durable;NULL;NULL
258;Tea - English Breakfast;310,939;1;Low;45:37.4;Weak;NULL;NULL
259;Veal - Eye Of Round;674,367;7;High;38:36.2;NULL;True;71
260;Yogurt - Blueberry, 175 Gr;268,886;7;Low;55:38.4;Durable;False;31
261;Chinese Foods - Chicken;220,901;9;High;12:42.0;Durable;True;NULL
262;Bagel - Plain;364,605;7;Medium;59:57.6;Durable;NULL;41
263;Soupfoamcont12oz 112con;507,497;7;Low;16:31.8;Weak;False;NULL
264;Juice - V8 Splash;494,497;3;High;59:14.1;Durable;True;NULL
265;Mushroom - Porcini, Dry;139,292;10;Medium;01:16.3;Weak;NULL;7
266;Clam Nectar;681,097;7;High;03:59.7;Weak;NULL;NULL
267;Grapes - Red;5,125;2;Medium;03:35.7;NULL;True;NULL
268;Vanilla Beans;978,435;9;Low;58:22.3;Durable;False;NULL
269;Wine - Blue Nun Qualitatswein;26,706;11;Medium;14:07.4;Durable;True;NULL
270;Cheese Cloth No 100;44,216;6;Medium;10:53.1;Durable;NULL;101
271;Banana - Leaves;733,954;5;High;39:01.1;NULL;True;NULL
272;Chocolate - Semi Sweet, Calets;681,134;2;Low;31:07.1;Weak;True;13
273;Bandage - Flexible Neon;775,913;4;Medium;22:29.3;Weak;NULL;NULL
274;Papayas;881,192;2;Low;48:36.4;Weak;False;NULL
275;Corn Meal;50,146;1;Medium;52:22.1;Durable;True;88
276;Snapple - Iced Tea Peach;492,508;5;High;02:31.3;NULL;True;NULL
277;Sea Bass - Whole;554,964;9;Medium;12:35.4;Durable;NULL;118
278;Apricots - Halves;0,3735;11;Medium;22:26.0;Weak;False;87
279;Beef - Texas Style Burger;911,828;1;Low;43:07.7;Durable;True;NULL
280;Onion Powder;618,352;5;Medium;28:47.9;Durable;False;NULL
281;Bar Mix - Pina Colada, 355 Ml;330,839;2;High;23:16.8;Durable;True;NULL
282;Lemonade - Natural, 591 Ml;561,506;10;Low;00:51.7;Durable;False;88
283;Bread Fig And Almond;11,882;4;Low;05:07.0;Durable;False;NULL
284;Beer - Rickards Red;934,888;9;Low;30:05.8;Weak;False;NULL
285;Cheese - Mix;718,302;7;Low;49:59.5;NULL;NULL;107
286;Beef - Prime Rib Aaa;404,897;2;Low;18:14.0;Durable;False;29
287;Bread - Italian Roll With Herbs;57,709;7;Medium;41:07.5;Durable;True;NULL
288;Orange - Canned, Mandarin;788,405;11;Low;00:25.5;Durable;True;NULL
289;Sword Pick Asst;435,169;10;Low;05:37.6;Durable;False;NULL
290;Sauce - Rosee;388,037;1;Low;18:23.5;NULL;True;110
291;Crab - Dungeness, Whole;12,559;2;Medium;42:11.8;NULL;False;NULL
292;Turkey - Oven Roast Breast;345,364;8;Low;37:18.6;NULL;False;NULL
293;Garlic - Elephant;609,698;11;Medium;16:38.2;Durable;NULL;NULL
294;Wine - Alsace Gewurztraminer;807,133;10;Low;09:58.1;Weak;NULL;18
295;Ice - Clear, 300 Lb For Carving;487,695;7;Low;44:47.6;NULL;True;NULL
296;Wine - Valpolicella Masi;313,545;3;Low;44:03.9;Weak;False;90
297;Hinge W Undercut;819,003;3;Low;28:22.1;Durable;True;120
298;Pop Shoppe Cream Soda;957,387;4;Medium;25:35.3;NULL;False;NULL
299;Fuji Apples;801,371;4;Medium;57:20.5;NULL;False;NULL
300;Beans - Kidney, Canned;695,694;5;Medium;35:16.8;NULL;True;NULL
301;Beer - Labatt Blue;43,412;8;Medium;29:22.9;Weak;NULL;NULL
302;Doilies - 5, Paper;611,598;11;Medium;07:29.3;Durable;NULL;NULL
303;Cod - Black Whole Fillet;726,133;7;High;09:58.3;NULL;False;NULL
304;Banana Turning;721,984;5;High;42:41.0;NULL;True;NULL
305;Pastry - Cheese Baked Scones;910,997;8;Medium;16:12.9;Weak;True;19
306;Pepper - White, Ground;435,953;4;Low;08:51.8;Durable;True;117
307;Foam Cup 6 Oz;502,256;1;High;48:50.8;Durable;NULL;NULL
308;Tea - Decaf Lipton;881,209;6;High;33:17.9;Durable;NULL;NULL
309;Muffin Batt - Choc Chk;276,344;11;Medium;56:36.3;Durable;True;76
310;Coffee - Dark Roast;79,978;9;Low;33:15.5;Weak;False;NULL
311;Wonton Wrappers;40,206;9;High;11:49.6;Weak;NULL;56
312;Salmon - Sockeye Raw;840,645;1;Low;52:04.2;Weak;True;54
313;Veal - Slab Bacon;399,111;11;High;02:29.7;NULL;NULL;116
314;Salmon Steak - Cohoe 8 Oz;56,015;2;Medium;09:48.3;NULL;True;82
315;Wine - Gato Negro Cabernet;938,047;6;Medium;32:21.6;NULL;True;NULL
316;Cheese - Victor Et Berthold;659,395;11;High;11:50.3;Weak;False;94
317;Water - Green Tea Refresher;352,723;3;Low;54:50.6;Weak;False;NULL
318;Ecolab - Solid Fusion;57,261;10;High;46:26.0;NULL;NULL;76
319;Towels - Paper / Kraft;776,195;7;High;09:14.6;NULL;NULL;NULL
320;Yogurt - French Vanilla;734,396;9;Low;43:02.2;NULL;NULL;NULL
321;Potatoes - Instant, Mashed;104,007;1;Medium;22:52.2;Durable;NULL;NULL
322;Onions - Vidalia;262,846;2;Medium;03:10.2;NULL;NULL;NULL
323;Extract - Lemon;543,266;10;High;52:44.8;Weak;False;99
324;Apricots - Dried;879,023;10;Low;55:43.8;Durable;True;42
325;Halibut - Fletches;31,657;5;Low;28:41.4;NULL;True;87
326;Appetizer - Mushroom Tart;38,859;9;High;01:42.5;NULL;False;NULL
327;Appetizer - Mini Egg Roll, Shrimp;71,436;2;Medium;14:28.8;NULL;False;NULL
328;Tuna - Salad Premix;968,781;6;Medium;12:31.2;Durable;True;35
329;Pork - Loin, Center Cut;393,496;6;High;03:48.8;Weak;True;NULL
330;Olives - Kalamata;187,914;10;Medium;08:18.2;NULL;False;NULL
331;Cookies Cereal Nut;673,505;3;High;34:09.2;Durable;NULL;80
332;Bouq All Italian - Primerba;597,578;5;Low;47:00.1;NULL;False;NULL
333;Cheese - Cottage Cheese;202,364;7;High;25:05.5;Weak;False;NULL
334;Ecolab - Lime - A - Way 4/4 L;216,133;7;High;07:50.9;Weak;True;NULL
335;Oil - Shortening,liqud, Fry;184,231;9;Low;59:25.0;Weak;NULL;84
336;Broom - Corn;719,241;2;Low;15:47.5;Durable;True;NULL
337;Bread - Rye;835,373;3;Low;50:53.4;Durable;True;NULL
338;Cheese - Camembert;289,899;11;Low;22:26.0;Durable;NULL;NULL
339;Beef - Striploin Aa;2,389;2;Medium;13:52.8;Weak;NULL;NULL
340;Veal - Sweetbread;282,349;3;High;41:07.7;Durable;True;NULL
341;Bread - Roll, Canadian Dinner;902,641;1;Low;29:23.2;Weak;True;NULL
342;Mangoes;695,881;1;Medium;07:49.6;NULL;False;51
343;Otomegusa Dashi Konbu;512,061;1;High;03:49.2;Durable;False;NULL
344;Sausage - Liver;635,389;2;Low;32:22.1;NULL;False;114
345;Bread - Calabrese Baguette;985,978;4;Medium;06:33.9;Durable;False;67
346;Cheese - Parmesan Grated;171,914;1;Low;50:07.5;NULL;True;NULL
347;Pail For Lid 1537;946,253;8;Low;34:48.9;NULL;True;NULL
348;Pasta - Cheese / Spinach Bauletti;553,683;10;Low;06:49.9;Durable;True;54
349;Puree - Mocha;869,086;4;Medium;37:36.4;NULL;True;NULL
350;Isomalt;82,83;8;Low;32:57.4;NULL;True;NULL
351;Hot Chocolate - Individual;960,823;1;High;49:13.3;Durable;NULL;NULL
352;Beef - Tenderlion, Center Cut;246,393;4;Low;41:56.1;NULL;False;5
